S.no,Youtube_channel,Youtuber_name,Category,Subscribers,Country,Average_view,Average_likes,Average_comments,Sub-category,Date
288,Britain's Got Talent,BritainsGotTalent09,Music & Dance,18700000.0,United Kingdom,192200.0,1100.0,44.0,Movies,9/6/2022
289,TRT Originals Urdu,TRT Originals Urdu,Other,18700000.0,Pakistan,308200.0,13600.0,328.0,Other,9/19/2022
290,AS Gaming,AS Gaming,Other,18700000.0,India,370700.0,32700.000000000004,1100.0,Other,9/1/2022
291,TheWillyrex,TheWillyrex,Other,18600000.0,Spain,25400.0,1500.0,0.0,Other,9/4/2022
292,The Royalty Family,The Royalty Family,Humor,18500000.0,United States,3400000.0,90200.0,0.0,Other,9/12/2022
294,CookieSwirlC,CookieSwirlC,Video games,18500000.0,United States,238100.0,3300.0,535.0,Other,9/10/2022
296,Sonotek,sonotekvideo,Music & Dance,18400000.0,India,28600.0,655.0,58.0,Animation,9/5/2022
298,KBS WORLD TV,kbsworld,Other,18400000.0,Indonesia,5300.0,137.0,6.0,Other,9/28/2022
299,MiawAug,MiawAug,Video games,18400000.0,Indonesia,850700.0,35400.0,2100.0,Other,9/24/2022
301,HiMan,HiMan,Video games,18300000.0,Russia,1600000.0,76900.0,2400.0,Other,9/7/2022
302,ElTrollino,ElTrollino,Animation,18300000.0,Mexico,3500000.0,102600.0,2800.0,Video games,9/25/2022
303,Unbox Therapy,Unbox Therapy,Science & Technology,18300000.0,United States,1200000.0,28200.0,3300.0,Other,9/8/2022
